Column1,Column2,Column3,Column4,Column5
C12-18 acid triglyceride,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/c12-18-acid-triglyceride.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Used as an emollient and texture enhancer in cosmetics.
C13-14 isoparaffin,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/c13-14-isoparaffin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,A petroleum-derived ingredient whose wax-like texture functions as a texture enhancer.
C13-15 alkane,https://www.paulaschoice.com/ingredient-dictionary/skin-softening/C13-15-alkane.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Softening', 'Miscellaneous']",Good,"A synthetic blend of alkanes that functions as a solvent. Alkanes are saturated hydrocarbons, common cosmetic examples being mineral oil and paraffin. Reference for this information: http://online.personalcarecouncil.org/jsp/Home.jsp"
C18-36 acid triglyceride,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/c18-36-acid-triglyceride.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Used as an emollient and texture enhancer in cosmetics.
C20-40 pareth-40,https://www.paulaschoice.com/ingredient-dictionary/cleansing-agents/c20-40-pareth-40.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Cleansing Agents'],Good,"Mixture of polyethylene glycols of various molecular weight that can function as stabilizing agents, solubolizers, and surfactants."
caffeic acid,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/caffeic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Best,"Potent antioxidant. Caffeic acid is derived from plants and is in fact found in most plants.
References for this information:
Toxicology, January 2006, issues 2-3, pages 213-220
Bioorganic & Medicinal Chemistry Letters, June 2002, issue 12, pages 1567–1570"
caffeine,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/caffeine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Average,"Caffeine is the chief stimulant in beverages such as coffee and tea. It’s often included in skincare products with claims that it will improve the look of cellulite or puffy eyes. Unfortunately, research into caffeine’s effects in this regard are mixed. Caffeine’s popularity in products related to cellulite is due to its distant relationship to aminophylline (an ingredient once thought to improve the look of cellulite), which is a modified form of theophylline, and caffeine contains theophylline.Applied to skin, caffeine may have soothing and antioxidant properties, especially when skin is exposed to UV light. It can penetrate skin and has a constricting effect, which can help improve the look of redness but also may be sensitizing.When it comes to puffy eyes, there is no research indicating caffeine can have any benefit; in fact, research has shown caffeine has an inhibitory action on a key protein in skin that helps it look younger. Truly, it’s a mix of pros and cons for skin, though lower amounts (less than 1%)  in skincare products probably don’t present much, if any, risk.References for this information:Drug Design, Development, and Therapy, October 2014, pages 19,923-1,928Skin Pharmacology and Physiology, 2013, issue 1, pages 8-14British Journal of Clinical Pharmacology, August 2009, pages 181-186The Journal of Clinical and Aesthetic Dermatology, January 2009, pages 36-40BMC Complementary and Alternative Medicine, March 2006, issue 9, page 17Bioscience, Biotechnology, and Biochemistry, November 2005, issue 11, pages 2219-2223"
cajeputi oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cajeputi-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,
calamine,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/calamine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],Poor,"Preparation of zinc carbonate, colored with ferric oxide (a form of rust). It is a sensitizer when applied to skin so it should be used only as needed."
calcium aluminum borosilicate,https://www.paulaschoice.com/ingredient-dictionary/thickeners%2Femulsifiers/calcium-aluminum-borosilicate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Thickeners/Emulsifiers', 'Texture Enhancer']",Good,"A mineral-derived thickening agent consisting of calcium, aluminum, and silicates of the mineral boron. Its safety has been evaluated and was considered safe as used in cosmetics. This dry, inert ingredient is often used in powders and does not penetrate skin. Reference for this information: International Journal of Toxicology, September-October 2013 Supplement, pages 65S-72S"
calcium ascorbate,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/calcium-ascorbate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Vitamins']",Best,"Form of vitamin C; other forms include ascorbic acid, L-ascorbic acid, ascorbyl palmitate, and magnesium ascorbyl phosphate. Calcium ascorbate, often referred to as Ester-C, is considered a stable form of vitamin C and an antioxidant.
References for this information:
Medical Science Monitor, October 2007, issue 10, pages 205–210
Journal of Cosmetic Science, November–December 2006, issue 6, pages 465–473"
calcium carbonate,https://www.paulaschoice.com/ingredient-dictionary/absorbent/calcium-carbonate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Absorbent'],Good,Chalk; used as an absorbent in cosmetics.
calcium d-pantetheine-s-sulfonate,https://www.paulaschoice.com/ingredient-dictionary/vitamins/calcium-d-pantetheine-s-sulfonate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Vitamins'],Good,
calcium gluconate,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/calcium-gluconate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Soothing'],Good,"Calcium is an essential mineral for the body. A small amount of research shows calcium gluconate may be a good skin-soothing and restorative agent when applied topically.
References for this information:
Annals of Emergency Medicine, July 1994, issue 1, pages 9–13"
calcium pantothenate,https://www.paulaschoice.com/ingredient-dictionary/vitamins/calcium-pantothenate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Vitamins'],Good,Also known as pantothenic acid.
calcium PCA,https://www.paulaschoice.com/ingredient-dictionary/hydration/calcium-pca.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Hydration', 'Skin-Replenishing']",Best,"Calcium PCA is the calcium salt of PCA (pyrrolidone carboxylic acid), which is a key component of skin’s natural moisturizing factor, or NMF. The NMF plays a role in keeping skin’s barrier healthy and intact. Calcium plays a critical role in skin, influencing how new cells are formed and how they move from the lower layer (dermis) to the surface (epidermis). Within skin’s layers, calcium serves to orchestrate many aspects of maintenance and repair. Topically, calcium PCA helps replenish skin’s barrier and works as a humectant to draw and hold moisture in skin’s uppermost layers. References for this information: Annals of Dermatology, June 2018, pages 265-275 Experimental Gerontology, August 2015, pages 59-65 European Journal of Dermatology, November-December 2014, pages 650-661 Yonsei Medical Journal, June 2006, pages 293-306"
calendula extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/calendula-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']",Good,"Extract derived from the plant commonly known as pot marigold or Calendula officinalis, there is little research showing that it has any effect on skin, though it may have skin-soothing and antioxidant properties. If you have ragweed (or similar plant) sensitivities, topical application of calendula is not recommended."
Calendula officinalis flower extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/calendula-officinalis-flower-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Good,"Non-fragrant antioxidant plant extract that has skin-soothing and redness-reducing properties. References for this information: Wound Repair and Regeneration, September 2019, pages 548–561  Phytotherapy Research, June 2015, pages 120–124  Phytocognosy Review, July-December 2013, pages 179–187  Journal of Ethnopharmacology, February 2010, pages 596–601  International Journal of Toxicology, Supplement 2, 2001, pages 13–20"
Calluna vulgaris flower extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/calluna-vulgaris-flower-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Best,"Also known as heather extract, this plant has skin-soothing properties. Heather is considered a medicinal plant in certain parts of Europe, and has been studied in the field of ethno pharmacology.
References for this information:
Collegium Antropologicum, September 2007, issue 3, pages 869–890"
Calophyllum inophyllum seed oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/calophyllum-inophyllum-seed-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Good,
Camellia japonica flower extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/camellia-japonica.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Camellia japonica flower extract is also known as Tsubaki, Japanese camellia, common camellia. Native to Korea, China, and Japan, research has shown this plant has impressive antioxidant, anti-pollution, and soothing abilities. Specific to anti-pollution, testing on human skin samples revealed that topical application of the flower extract protects fibroblasts (cells in skin that make collagen) from oxidative damage that heavy metal airborne pollutants trigger. It also intercepts collagen-degrading enzymes before they lead to visible signs of aging such as wrinkles and orange peel-like skin texture. At the same time, this plant extract addresses loss of collagen that can visibly impact pore size. Along with offering antioxidant and pollution-neutralizing benefits on its own, topical application of Camellia japonica flower also boosts the presence of several antioxidant enzymes that naturally occur in skin, such as superoxide dismutase, catalase and glutathione peroxidase. This helps skin better defend itself against external aggressors that detract from a healthy appearance. This plant is also a rich source of the oil-soluble antioxidant gallic acid that defends skin against visible signs of UVB damage while also interrupting excess melanin production. References for this information: BMC Complementary and Alternative Medicine, January 2019, ePublication Cosmetics, February 2018, ePublication International Journal of Molecular Sciences, April 2011, pages 2,618-2,630"
Camellia oleifera,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/camellia-oleifera.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,
Camellia sinensis,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/camellia-sinensis.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,
camphor,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/camphor.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,"Aromatic substance obtained from the wood of a tree common to Southeast Asia, Cinnamomum camphora or manufactured synthetically. When applied to the skin, camphor produces a cooling effect, which can cause skin sensitivity with repeated use. Inhaling camphor at concentrations of 2 ppm (parts per million) or more may cause sensitivity of the mucous membranes. Camphor can also cause skin and eye sensitivity on contact.
References for this information:
British Journal of Dermatology, November 2000, issue 5, pages 923-929"
cananga extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cananga-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,"Fragrance used in cosmetics; it can be a skin sensitizer, much like ylang ylang."
Cananga odorata,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cananga-odorata.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,
candelilla/jojoba/rice bran polyglyceryl-3 esters,https://www.paulaschoice.com/ingredient-dictionary/thickeners%2Femulsifiers/candelilla%2Fjojoba%2Frice-bran-polyglyceryl-3-esters.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Thickeners/Emulsifiers'],Best,"A natural mixture of polyglycerin-3, candelilla wax, jojoba seed wax, and rice bran wax that functions as a stabilizer and emulsifier in cosmetics. It is chemically known as a transester because the ingredient contains three different components that are chemically combined to create a new ingredient.

Reference for this information: 
http://online.personalcarecouncil.org/ctfa-static/online/lists/cir-pdfs/FR717.pdf"
candelilla wax,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/candelilla-wax.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Emollients', 'Texture Enhancer']",Good,Extract derived from candelilla plants; used as a thickening agent and emollient to give products such as lipsticks or stick foundations their form.
cannabidiol,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/cannabidiol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Restoring', 'Skin-Soothing']",Best,"One of the components of the Cannabis sativa and Cannabis indica plants. Although listed on a cosmetic product by the approved name of cannabidiol, this ingredient is commonly referred to as CBD. Cannabidiol is one of numerous cannabinoids found primarily in the Cannabis species of plants. It occurs naturally in the flowering tops of the hemp plant (Cannabis sativa) but not in hemp seeds. Products that contain hemp seed oil that tout it as the source of cannabidiol most likely do not contain this substance (especially if you don’t see it listed among the product’s ingredients); however, it is possible to grow CBD-enriched hemp, where meaningful amounts of the cannabidiol is found in multiple parts of the plant. Confusing? Absolutely, which is why it’s important to only purchase CBD skin care from a trusted brand. Cannabidiol has been shown to offer numerous benefits related to calming skin. Skin has specific receptor sites for cannabinoids (referred to as its endocannabinoid system). It seems CBD can “talk” to these receptor sites on skin, sending unique signals to stop firing the wrong messages, which in turn leads to healthier, better-looking skin. This benefit makes cannabidiol an intriguing ingredient for interrupting the progression of damage within skin’s uppermost layers that can lead to visible problems; however, more research needs to be done to gain a greater understanding of how CBD works on skin. Research has also shown, though isn’t entirely clear on how this works, that CBD seems to visibly reduce oily skin. It’s also a very good antioxidant, on par with vitamins C and E. A quick note on the other compound in Cannabis that’s often mentioned, and that’s THC (tetrahydrocannabinol). This is the cannabinoid in marijuana (Cannabis indica) that has psychoactive effects (gets you high). The cannabidiol in skin care products must be THC-free, which means it contains 0.3% or less of this chemical, an amount lawmakers have deemed safe and unable to produce any sort of “high.” Last, the legal status of CBD in skin care (meaning for topical use only, not ingestion) appears to be on solid footing for now, but it’s a changing landscape that is being examined with an aim on clarifying its usage for consumers. References for this information: Biochemical Pharmacology, November 2018, pages 122-133 Dermatology Online Journal, June 2018, pages 1-17 Journal of Investigate Dermatology, May 2018, page S173 Dermatoendocrinology, January 2018, ePublication Cannabis and Cannabinoid Reserarch, June 2017, ePublication Journal of the American Academy of Dermatology, April 2017, pages 188-190"
Cannabis sativa oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cannabis-sativa-l.-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Emollients']",Best,
canola oil,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/canola-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Skin-Replenishing', 'Plant Extracts']",Best,"Plant lipid that has restorative and skin-soothing properties.
References for this information:
British Journal of Dermatology, February 1996, issue 2, pages 215–220"
caprooyl phytosphingosine,https://www.paulaschoice.com/ingredient-dictionary/skin-replenishing/caprooyl-phytosphingosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Replenishing', 'Skin-Restoring']",Best,"A mixture of fatty acids caproic acid and phytosphingosine, this ingredient works to replenish and restore a healthier-looking skin surface, creating a smooth, hydrated feel. As a component of naturally-occurring ceramides, caprooyl phytosphingosine is brilliant for stopping moisture loss from skin’s uppermost layers.
 
References for this information: 
Biochimica et Biophysica Acta, January 2017, pages 824-834
Scientific Reports, November 2015, ePublication
Journal of Lipid Research, August 2009, pages 1,692-1,707
European Biophysics Journal, July 2008, pages 989-999"
caprooyl sphingosine,https://www.paulaschoice.com/ingredient-dictionary/skin-replenishing/caprooyl-sphingosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Replenishing', 'Skin-Restoring']",Best,"A mixture of fatty acids caproic acid and sphingosine, this ingredient works to replenish and restore a healthier-looking skin surface, creating a smooth, hydrated feel. As a component of naturally-occurring ceramides, caprooyl sphingosine is brilliant for stopping moisture loss from skin’s uppermost layers.
 
References for this information: 
Biochimica et Biophysica Acta, January 2017, pages 824-834
Scientific Reports, November 2015, ePublication
European Biophysics Journal, July 2008, pages 989-999"
caprooyl tetrapeptide-3,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/caprooyl-tetrapeptide-3.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Best,"A synthetic or plant-derived signal peptide that’s said to help to boost the natural production of supportive substances skin needs to look younger and feel firmer.Caprooyl tetrapeptide-3 is made by Lucas Meyer Cosmetics and sold with the trade name Chronoline. It is mixed with water and the sugar, dextran.References for this information: Clinical, Cosmetic, and Investigational Dermatology, November 2016, pages 411-419Lucas Meyer Cosmetics. “ChroNOlineTM A Biometric Lipopeptide That Boosts The Production of Key Components at the DEJ for Maximal Fine Lines and Wrinkles Reduction”, Claim Substantiation Sheet, 2012.International Journal of Cosmetics, October 2009, pages 327-345"
caprylic/capric triglyceride,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/caprylic%2Fcapric-triglyceride.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Emollients', 'Texture Enhancer']",Best,"Caprylic/Capric Triglyceride at a Glance  Provides emolliency and beneficial fatty acids that help skin resist moisture loss Can also be used to thicken a formula or enhance the penetration of key ingredients Known to improve to the spreadability of a product Derived from coconut oil and glycerin Clear, non-viscous liquid  Caprylic/Capric Triglyceride Description Caprylic/capric triglyceride is derived from coconut oil and glycerin and is considered an excellent emollient and skin-replenishing ingredient. Of note, its mix of fatty acids replenish skin’s surface and help it to resist moisture loss. Caprylic/capric triglyceride can also function as a thickener or penetration enhancer, but its chief job is to moisturize and replenish skin. This ingredient’s value for skin is made greater by the fact that it’s considered gentle. As a raw material caprylic/capric triglyceride is clear, non-viscous liquid. It is known to improve to the spreadability of formula. Safety assessments have deemed capric/caprylic triglyceride safe in cosmetic formulations in concentrations below 50%, with reported uses varying between 0.1% to 35%. Despite what is often purported on the internet skin care advice sites, there is no research showing caprylic/capric triglyceride is “comedogenic” or pore clogging. (This assumption is often tied to its relation to coconut oil.) Theoretically, because its molecular weight of 408 is below 500 Daltons, caprylic/capric triglyceride technically has the ability to penetrate the pore lining, but even that doesn’t inherently mean it will clog pores. Caprylic/Capric Triglyceride References International Journal of Toxicology, September 2020, pages 34-35 Periodica Polytechnica Chemical Engineering, 2014, pages 43-48 International Journal of Toxicology, January 2003, pages 4-5 Food and Chemical Toxicology, January 2000, pages 79-98 Journal of the Society of Cosmetic Chemists, August 1985, pages 303-311"
capryloyl glycerin/sebacic acid copolymer,https://www.paulaschoice.com/ingredient-dictionary/film-forming%2Fholding-agents/capryloyl-glycerin%2Fsebacic-acid-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Film-Forming/Holding Agents', 'Texture Enhancer']",Good,A naturally-derived (coconut and castor oil) or synthetic ingredient that functions as a polymer and film-forming agent as well as a replacement for silicones in cosmetic formulas. References for this information: http://www.cosmeticsandtoiletries.com/formulating/function/feelenhancer/169326356.html
capryloyl glycine,https://www.paulaschoice.com/ingredient-dictionary/hydration/capryloyl-glycine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Hydration'],Good,"A synthetic amino acid derivative that function as a conditioning agent or, depending on the formula, a surfactant. Capryloyl glycine also helps protect the skin’s surface from water loss and can enhance the effectiveness of cosmetic preservatives, allowing lower amounts to be used (a feature that minimizes the risk of a sensitized reaction). Reference for this information: International Journal of Toxicology, May/June 2017, pages 17S-56S http://www.hmdb.ca/metabolites/HMDB00832"
capryloyl salicylic acid,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/capryloyl-salicylic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Exfoliant']",Best,"Capryloyl salicylic acid is a derivative (ester) of salicylic acid developed by L’Oreal. In chemistry circles, it’s known as 2?hydroxy?5?octanoyl benzoic acid, but skin care consumers most likely know it has lipohydroxy acid (LHA). The “lipo” portion is oil-soluble, although so is regular salicylic acid. To date, studies haven’t shown capryloyl salicylic acid is superior to salicylic acid; however, we know that LHA has a larger molecular size and along with its fatty acid structure has been shown to penetrate the skin slower than salicylic acid. In vitro studies have shown LHA tends to stay within the stratum corneum (the outermost layers of skin), while salicylic acid penetrates up to 58% further. This limitation may explain why capryloyl salicylic acid is not considered as effective for acne as salicylic acid. Speaking of acne, there is comparative research showing capryloyl salicylic acid used with benzoyl peroxide and/or a topical antibiotic produced slightly better results than using benzoyl peroxide and the topical antibiotic alone. While that’s encouraging, if you’re struggling with acne, regular salicylic acid should remain your go-to exfoliant. Just like salicylic acid, the capryloyl derivative has exfoliating and soothing properties as well as documented improvement in skin tone, wrinkles, and clogged pores. It also has the same formulary requirements around the pH range it works best, although unlike salicylic acid, in skin care LHA’s concentration is typically no greater than 1%. Interestingly, comparative research hasn’t focused on salicylic acid; instead, the single study that exists compared capryloyl salicylic acid to the alpha hydroxy acid (AHA) glycolic acid. In such instances, lower amounts (5-10%) of capryloyl salicylic acid were shown to produce an equivalent to superior level of visible improvement compared with much greater (20-50%) concentrations of glycolic acid. Due to the natural calming properties salicylic acid has, it wasn’t surprising that the LHA peels were perceived as less irritating than the AHA peel. Capryloyl salicylic acid is generally considered safe when used as directed. Note: Although studies on this ingredient were generally well done and followed scientific principles, it’s worth noting that all of them were either done by, funded by, or otherwise supported by L’Oreal. This does not mean the results cannot be counted on, only that there was incentive to cast this ingredient in its best light. References for this information: The Journal of Clinical and Aesthetic Dermatology, November 2016, pages 40-43 Journal of Cosmetic Dermatology, May 2008, pages 259-262 International Journal of Toxicology, Volume 22, Supplement 3, 2003, pages 1-108 Skin Research and Technology, August 1995, pages 115-122"
caprylyl caprylate/caprate,https://www.paulaschoice.com/ingredient-dictionary/emollients/caprylyl-caprylate-caprate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Softening']",Good,"A synthetic ester blend of medium chain fatty acids and fatty alcohol that works as an emollient. As such, it can help improve skin’s barrier so it’s better able to resist moisture loss.References for this information:Pharmaceutics, March 2014, pages 52-77 Biochimica Biophysica Acta, March 2014, pages 362-368"
caprylyl glycol,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/caprylyl-glycol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Preservatives']",Good,"Skin and hair conditioning agent that may be plant-derived or synthetic. Often used as part of a preservative blend in cosmetics.  References for this information: International Journal of Cosmetic Science, October 2016, pages 496-503 International Journal of Toxicology, September-October 2012, pages 147-168"
caprylyl methicone,https://www.paulaschoice.com/ingredient-dictionary/silicones/caprylyl-methicone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Silicones', 'Emollients']",Good,A synthetic or plant-derived silicone polymer that conditions skin and provides a permeable barrier that helps prevent moisture loss. References for this information: https://cosmetics.specialchem.com/inci/caprylyl-methicone  https://www.brb-international.com/uploads/files/Silicones/News%20item/BRB%20Caprylyl%20Methicone.pdf
capsaicin,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/capsaicin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,Component of capsicum. It has the potential to aggravate skin when applied topically.
capsicum,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/capsicum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,"Large group of plants consisting primarily of the pepper family, including chili peppers and paprika. Capsicum and substances derived from it can cause skin aggravation and should never be applied to abraded skin."
capsicum oleoresin,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/capsicum-oleoresin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor,Fatty resin derived from capsicum plants. It can aggravate skin and should not be applied to abraded skin.
caramel,https://www.paulaschoice.com/ingredient-dictionary/coloring-agents%2Fpigments/caramel.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Coloring Agents/Pigments'],Good,Natural coloring agent.
carbomer,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/carbomer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,"Group of synthetic texture enhancers used primarily to create gel-like formulations. High amounts of carbomers in a gel may result in the product rolling or balling up of cosmetic products on skin, but this phenomenon depends on other formulary steps taken to minimize this effect.Reference for this information:Pharmacognosy Magazine, October-December 2013, Supplement, pages S6-S10"
carbopol,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/carbopol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,
carboxylic acid,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/carboxylic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Best,
cardamom,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cardamom.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,"Plant of the ginger family, used as fragrance in cosmetics. Terpene, one of its major constituents, can aggravate skin."
carmine,https://www.paulaschoice.com/ingredient-dictionary/coloring-agents%2Fpigments/carmine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Coloring Agents/Pigments'],Good,"Natural red color that comes from the dried female cochineal beetle. It is sometimes used to color lip gloss, lipsticks, and other cosmetics. The FDA approved carmine for food use in 1977."
carnauba wax,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/carnauba-wax.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Absorbent', 'Texture Enhancer']",Good,"Natural, hard wax obtained from the leaves of palm trees. Used primarily as a thickening agent, but also has film-forming and absorbent properties."
carnitine,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/carnitine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Best,"Naturally occurring amino acid. Research into how this amino acid affects skin when applied topically is limited, though a few studies indicate it can be an antioxidant."
carnosic acid,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/carnosic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,Component of rosemary that is a potent antioxidant.
carnosine,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/carnosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Carnosine at a Glance

Synthetic peptide that is biomimetic (designed to emulate the carnosine naturally found in the body)
Offers a host of anti-aging properties
Protects against oxidative stress
May help ward off pro-aging glycation effects
Aside from topical application, carnosine also comes in dietary supplement form

Carnosine Description
As a skin care ingredient, carnosine is a synthetic peptide that is biomimetic, meaning it is designed to emulate the natural carnosine found in the body where it functions as a protein building block (the carnosine peptide contains the amino acids histidine and alanine). Topically applied, carnosine has skin-soothing and antioxidant properties that allow it to protect against oxidative stress and perform anti-aging capabilities.
There is some research indicating carnosine offers antiglycation properties. (Glycation is a process that leads to wrinkles, so warding it off is a good thing.) Manufacturer studies also tout carnosine’s ability to boost collagen, but as is generally the case for peptides, specific formulary considerations and delivery systems have to be in place for carnosine to effectively reach where it would need to go to have that effect.
Since carnosine occurs naturally in the body and plays a role in maintaining health, it is considered safe for topical use. The general range considered effective for use in skin care is anywhere between 0.05–2%.
Aside from topical skin care, carnosine is commercially available as a dietary supplement, where it shows promise for improving various health conditions.
Carnosine References
BMJ Open, December 2020, pages 1-12
Oxidative Medicine and Cellular Longevity, September 2020, pages 1-15
Cosmetics, November 2018, pages 1-9
Aging and Disease, October 2015, pages 369–379
The Journal of Dermatological Treatment, October 2012, pages 345–384
Biopolymers, January 2008, pages 655-662
Journal of Cosmetic Dermatology, July 2004, pages 26-34
Life Sciences, March 2002, pages 1789–1799 
FEBS Letters, July 1995, pages 81-85"
carnosol acid,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/carnosol-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,
carrageenan,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/carrageenan.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Texture Enhancer']",Good,Seaweed gum used in cosmetics as a thickening agent with water-binding properties.
